CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N10797577,7,72.0,51,73.0,49,75.0,51,60.0,48,46.0,47,4
N10797577,7,72.0,51,73.0,49,75.0,51,60.0,48,46.0,47,4
N10800343,4,47.0,51,38.0,49,42.0,51,30.0,48,47.0,47,2
N10800349,4,49.0,51,50.0,49,47.0,51,46.0,48,49.0,47,3
N10800349,4,56.0,51,65.0,49,66.0,51,47.0,48,55.0,47,3
N10804410,1,10.0,51,15.0,49,12.0,51,44.0,48,24.0,47,1
N10804410,1,12.0,51,23.0,49,18.0,51,54.0,48,30.0,47,2
N10804419,5,62.0,51,44.0,49,42.0,51,41.0,48,42.0,47,3
N10812418,2,11.0,51,19.0,49,26.0,51,28.0,48,27.0,47,1
N10812419,3,18.0,51,44.0,49,36.0,51,67.0,48,34.0,47,2
N10812420,6,70.0,51,57.0,49,71.0,51,45.0,48,52.0,47,4
N10812424,3,18.0,51,35.0,49,35.0,51,35.0,48,43.0,47,2
N10812424,3,20.0,51,49.0,49,38.0,51,41.0,48,51.0,47,3
N10812424,5,70.0,51,61.0,49,66.0,51,31.0,48,66.0,47,3
N10812428,3,19.0,51,41.0,49,46.0,51,56.0,48,42.0,47,2
N10812428,4,55.0,51,64.0,49,69.0,51,63.0,48,64.0,47,3
N10812429,3,63.0,51,55.0,49,55.0,51,43.0,48,52.0,47,3
N10812429,3,65.0,51,66.0,49,69.0,51,62.0,48,63.0,47,3
N10812429,3,77.0,51,75.0,49,77.0,51,42.0,48,59.0,47,4
N10812434,3,39.0,51,32.0,49,37.0,51,23.0,48,37.0,47,2
N10812435,6,78.0,51,67.0,49,71.0,51,54.0,48,44.0,47,4
N10812436,2,16.0,51,38.0,49,36.0,51,60.0,48,40.0,47,2
N10812437,5,64.0,51,49.0,49,43.0,51,59.0,48,47.0,47,3
N10812437,5,74.0,51,59.0,49,55.0,51,44.0,48,50.0,47,4
N10812439,3,15.0,51,33.0,49,28.0,51,58.0,48,25.0,47,2
N10812439,3,15.0,51,32.0,49,28.0,51,59.0,48,25.0,47,2
N10812440,5,75.0,51,47.0,49,52.0,51,48.0,48,22.0,47,4
N10812445,4,35.0,51,30.0,49,29.0,51,43.0,48,45.0,47,2
N10812446,2,21.0,51,31.0,49,34.0,51,54.0,48,37.0,47,2
N10812453,6,59.0,51,49.0,49,43.0,51,68.0,48,64.0,47,3
N10812453,6,25.0,51,39.0,49,36.0,51,63.0,48,61.0,47,3
N10812453,6,27.0,51,44.0,49,41.0,51,61.0,48,60.0,47,3
N10812453,6,28.0,51,43.0,49,47.0,51,63.0,48,57.0,47,3
N10812453,6,27.0,51,45.0,49,48.0,51,66.0,48,64.0,47,3
N10812453,6,24.0,51,45.0,49,51.0,51,59.0,48,63.0,47,3
N10812453,7,68.0,51,57.0,49,68.0,51,43.0,48,64.0,47,3
N10812456,3,46.0,51,45.0,49,50.0,51,32.0,48,47.0,47,3
N10812457,3,58.0,51,45.0,49,47.0,51,52.0,48,45.0,47,3
N10812457,6,15.0,51,25.0,49,46.0,51,41.0,48,23.0,47,2
N10812457,7,74.0,51,61.0,49,65.0,51,53.0,48,65.0,47,4
